species,lat,lng
양버즘나무,37.4708325,126.9335131
양버즘나무,37.4813,126.9514652
양버즘나무,37.4845041,126.9327781
은행나무,37.4859872,126.9567261
은행나무,37.4796715,126.9526296
은행나무,37.4783034,126.9524561
양버즘나무,37.4791891,126.9414849
양버즘나무,37.4834321,126.9396511
양버즘나무,37.4819636,126.9474799
양버즘나무,37.4818831,126.9483219
양버즘나무,37.4777401,126.962275
양버즘나무,37.4768465,126.9645515
은행나무,37.4711687,126.9832345
양버즘나무,37.47386,126.9334489
양버즘나무,37.4750589,126.9359473
양버즘나무,37.477657,126.933445
은행나무,37.4813769,126.9545566
양버즘나무,37.482338,126.9437593
왕벚나무,37.4820673,126.9525047
왕벚나무,37.4844845,126.9388669
왕벚나무,37.4847643,126.9382335
양버즘나무,37.4775214,126.9132196
소나무,37.4725134,126.9587074
양버즘나무,37.4795855,126.9015691
양버즘나무,37.4830242,126.9202563
감나무,37.4827273,126.9140606
감나무,37.4841821,126.9112004
회화나무,37.4834176,126.9299038
양버즘나무,37.4798312,126.9310996
은행나무,37.4775888,126.9602261
느티나무,37.4859475,126.9362325
양버즘나무,37.4784522,126.9310333
은행나무,37.4743425,126.952811
양버즘나무,37.4793668,126.9449026
양버즘나무,37.477015,126.9363045
왕벚나무,37.4823341,126.9524287
은행나무,37.4861746,126.9529004
양버즘나무,37.4798101,126.9639762
양버즘나무,37.4817071,126.9500372
은행나무,37.4641999,126.9579954
양버즘나무,37.4815682,126.9499975
은행나무,37.4861856,126.9383014
양버즘나무,37.4761527,126.9745828
은행나무,37.4847085,126.912881
느티나무,37.486213,126.9350061
양버즘나무,37.4771441,126.9360972
회화나무,37.4867906,126.9248689
양버즘나무,37.4738282,126.9346411
양버즘나무,37.4847253,126.934574
느티나무,37.4862805,126.9348585
양버즘나무,37.4778422,126.9345279
왕벚나무,37.4727201,126.9588266
소나무,37.47169,126.9584766
은행나무,37.4676982,126.9577856
양버즘나무,37.4804016,126.9554786
양버즘나무,37.4795974,126.9574893
양버즘나무,37.4791382,126.9632631
은행나무,37.4708647,126.9834327
양버즘나무,37.470411,126.9396348
양버즘나무,37.4745463,126.9362274
은행나무,37.4901746,126.95665
감나무,37.4751493,126.9591128
양버즘나무,37.4707912,126.9364208
양버즘나무,37.4827391,126.9187033
은행나무,37.4862772,126.956545
양버즘나무,37.4694018,126.9456128
양버즘나무,37.4706378,126.9417202
양버즘나무,37.4699625,126.9332279
양버즘나무,37.4775999,126.9138418
양버즘나무,37.4706461,126.9418043
양버즘나무,37.470466,126.9401936
양버즘나무,37.4790065,126.9498789
은행나무,37.4859193,126.9566639
은행나무,37.4862928,126.9388859
은행나무,37.4867074,126.9127875
왕벚나무,37.4860438,126.911603
은행나무,37.4899283,126.9568019
왕벚나무,37.4829261,126.9440612
양버즘나무,37.4813333,126.912589
양버즘나무,37.4809228,126.9104286
왕벚나무,37.4891845,126.9169213
감나무,37.4752111,126.9591097
양버즘나무,37.4779693,126.9167667
왕벚나무,37.4755539,126.9590566
왕벚나무,37.4754897,126.959063
은행나무,37.4670366,126.957772
은행나무,37.4658493,126.957782
은행나무,37.4650407,126.9577964
양버즘나무,37.4816107,126.9125268
은행나무,37.4855271,126.9173972
양버즘나무,37.4822909,126.9441404
양버즘나무,37.4698548,126.9331591
은행나무,37.4866488,126.9488966
양버즘나무,37.4821855,126.9452357
양버즘나무,37.4783858,126.960615
양버즘나무,37.4778822,126.962488
양버즘나무,37.4763811,126.9649984
은행나무,37.4836759,126.9095633
양버즘나무,37.479071,126.9409897
양버즘나무,37.4788553,126.9513768
양버즘나무,37.4710037,126.9337859
은행나무,37.4669386,126.9489235
양버즘나무,37.4728771,126.9336015
양버즘나무,37.4815185,126.9492572
양버즘나무,37.4802749,126.9043553
양버즘나무,37.4759304,126.9366839
양버즘나무,37.477689,126.9144802
양버즘나무,37.4676027,126.9319417
은행나무,37.4713488,126.9524934
은행나무,37.4892129,126.9193567
감나무,37.4711127,126.9581743
양버즘나무,37.4710608,126.9424185
은행나무,37.489228,126.9192874
양버즘나무,37.4824552,126.918728
은행나무,37.4862841,126.9220605
은행나무,37.4679543,126.9502156
감나무,37.4738141,126.9589495
느티나무,37.4869544,126.9257384
양버즘나무,37.4776439,126.9360734
양버즘나무,37.4705703,126.9431455
은행나무,37.4771352,126.9617909
양버즘나무,37.4792037,126.9479206
양버즘나무,37.4816341,126.9126654
은행나무,37.4910463,126.9270735
은행나무,37.4671009,126.9577797
왕벚나무,37.4773852,126.9593431
왕벚나무,37.4845806,126.9033352
양버즘나무,37.476201,126.96613
양버즘나무,37.4847278,126.9352207
감나무,37.4747154,126.9591288
은행나무,37.4906968,126.9563066
양버즘나무,37.473782,126.9344166
