Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140415,18528,113,381,1053,1450,934,744,564,598,731,730,813,912,1401,2963,1652,980,1200,915,329,65
7,Naebang,20140416,18172,100,380,1032,1487,916,664,611,672,627,676,758,859,1344,3050,1669,1057,1044,863,297,66
7,Naebang,20140417,18145,95,382,1031,1427,957,671,644,596,643,742,795,982,1282,2967,1571,1032,1104,857,302,65
7,Naebang,20140418,18006,90,347,995,1376,938,672,657,638,686,741,830,1024,1235,3000,1710,899,947,836,318,67
7,Naebang,20140419,10259,87,231,304,550,661,542,652,810,759,657,720,822,796,643,538,487,463,381,156, - 
7,Naebang,20140420,6319,84,148,174,299,395,420,359,412,435,438,441,454,390,441,366,339,352,252,120, - 
7,Naebang,20140421,18243,118,392,1053,1332,847,678,620,635,692,715,844,949,1313,2869,1770,1130,1149,785,286,66
7,Naebang,20140422,18072,105,387,1040,1402,918,653,585,535,699,783,778,900,1261,2990,1575,1084,1121,846,344,66
7,Naebang,20140423,17987,126,380,1011,1385,900,616,628,626,717,739,806,894,1243,2862,1658,1070,1107,834,325,60
7,Naebang,20140424,18016,99,392,995,1354,917,706,659,595,679,779,800,911,1188,2905,1587,1060,1016,917,395,62
7,Naebang,20140425,18018,122,357,957,1337,912,690,685,583,703,742,842,977,1288,2961,1645,969,947,830,386,85
7,Naebang,20140426,10272,100,202,279,537,658,515,702,691,806,668,748,744,734,714,553,443,560,438,180, - 
7,Naebang,20140427,6235,64,155,163,295,348,375,384,395,463,475,468,420,413,474,321,321,336,266,98,1
7,Naebang,20140428,17782,100,364,991,1354,883,609,650,609,649,638,779,845,1356,2921,1710,983,1141,825,312,63
7,Naebang,20140429,18075,107,381,1012,1395,937,644,632,603,791,767,783,877,1210,2870,1599,1006,1165,869,349,78
7,Naebang,20140430,17851,111,355,1011,1447,894,693,661,746,727,744,789,908,1157,2778,1619,969,1014,815,330,83
7,Naebang,20140501,11991,104,276,504,771,733,607,619,605,634,646,672,761,968,1226,696,583,728,590,227,41
7,Naebang,20140502,17187,114,332,797,1180,839,679,710,657,739,819,924,1049,1289,2783,1541,881,832,678,284,60
7,Naebang,20140503,9360,89,210,233,459,593,541,662,705,743,640,662,673,696,627,478,424,429,361,135, - 
7,Naebang,20140504,5721,64,142,162,270,370,361,307,391,470,430,371,398,374,410,297,253,323,208,120, - 
7,Naebang,20140505,6279,76,166,190,266,374,413,372,389,433,402,426,451,427,470,333,283,437,256,114,1
7,Naebang,20140506,6803,80,164,171,317,432,371,432,408,438,460,458,502,521,511,361,391,408,269,109, - 
7,Naebang,20140507,18292,124,363,1064,1344,868,696,653,695,718,687,780,894,1293,3011,1698,1110,1052,823,363,56
7,Naebang,20140508,18221,99,382,1030,1394,933,696,677,626,716,703,825,877,1275,3055,1733,1005,1065,743,309,78
7,Naebang,20140509,18561,119,380,1017,1403,881,670,701,681,748,769,880,992,1261,2907,1787,1006,1059,869,343,88
7,Naebang,20140510,10644,97,235,281,546,666,635,675,704,828,692,766,817,873,733,563,448,468,446,170,1
7,Naebang,20140511,6517,66,169,189,296,415,381,379,463,514,481,490,466,430,437,321,305,344,273,98, - 
7,Naebang,20140512,18674,102,380,1088,1385,926,676,685,654,723,692,859,976,1279,2744,1845,1146,1206,897,335,76
7,Naebang,20140513,18436,114,392,1062,1467,964,710,681,577,749,740,795,881,1244,2773,1699,1045,1132,970,350,91
7,Naebang,20140514,18519,111,397,1007,1432,970,706,684,709,708,752,807,914,1310,2878,1597,1070,1085,966,357,59
7,Naebang,20140515,18909,117,354,1150,1540,993,711,665,629,729,704,876,998,1224,2834,1613,1100,1203,972,412,85
7,Naebang,20140516,18392,103,358,982,1350,945,673,702,712,757,782,864,943,1299,2988,1687,904,998,899,375,71
7,Naebang,20140517,10865,107,251,320,532,654,652,734,722,833,750,695,876,823,740,537,466,507,462,204, - 
7,Naebang,20140518,6870,85,159,179,327,396,446,409,481,506,500,496,465,425,450,379,354,391,295,127, - 
7,Naebang,20140519,18531,129,404,1036,1358,950,686,700,702,710,729,767,913,1272,2914,1715,1087,1146,903,334,76
7,Naebang,20140520,18496,107,352,1032,1395,923,727,707,645,708,782,836,911,1313,2832,1635,1020,1160,959,379,73
7,Naebang,20140521,18489,117,381,1015,1433,928,757,642,689,664,688,844,962,1338,3039,1577,1039,1089,848,373,66
7,Naebang,20140522,18616,116,361,1032,1425,962,679,685,612,686,691,835,961,1351,2826,1715,1099,1186,935,384,75
7,Naebang,20140523,18592,113,333,989,1446,938,726,688,679,777,728,841,1008,1338,2933,1730,952,1050,797,439,87
7,Naebang,20140524,10659,114,218,310,555,671,598,677,791,795,705,718,743,810,726,575,448,530,463,212, - 
7,Naebang,20140525,6536,68,165,182,288,389,401,369,442,512,473,481,499,447,431,369,301,343,259,117, - 
7,Naebang,20140526,18778,123,387,1100,1337,895,653,718,654,719,757,833,894,1322,2819,1746,1129,1227,969,414,82
7,Naebang,20140527,18673,129,391,1057,1425,954,701,650,569,756,800,727,874,1296,2883,1650,1111,1173,1022,420,85
7,Naebang,20140528,18499,112,383,1020,1486,916,690,630,726,741,801,808,881,1265,2982,1683,970,1085,933,310,77
7,Naebang,20140529,18342,110,391,1033,1377,989,708,643,622,712,685,842,917,1279,2757,1645,1095,1119,928,390,100
7,Naebang,20140530,18189,109,377,942,1381,897,698,688,591,680,762,875,994,1304,2900,1698,962,1039,823,381,88
7,Naebang,20140531,10421,122,234,313,565,683,603,636,707,759,749,740,735,872,697,517,454,475,393,166,1
7,Naebang,20140601,6341,73,158,188,281,416,352,331,410,448,450,437,481,400,442,332,336,364,290,151,1
