year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2009,gangbukgu,injured,1949,115,164,387,342,395,331,81,79,55
2009,dobonggu,died,17,0,1,2,1,4,4,1,1,3
2009,dobonggu,injured,1405,101,132,234,250,275,246,48,70,49
2009,nowongu,died,21,0,0,4,2,4,2,1,2,6
2009,nowongu,injured,2602,171,286,448,501,542,413,83,89,69
2009,enpyunggu,died,15,0,1,4,0,1,1,0,3,5
2009,enpyunggu,injured,2379,159,275,374,401,485,381,97,119,88
2009,sudaemungu,died,26,0,3,7,1,1,3,0,2,9
2009,sudaemungu,injured,1811,98,163,439,319,328,265,63,68,68
2009,mapogu,died,29,1,5,2,2,4,4,2,4,5
2009,mapogu,injured,2526,123,204,631,546,483,339,69,76,55
2009,yangchungu,died,18,0,2,3,1,3,5,0,1,3
2009,yangchungu,injured,2413,173,243,434,467,523,373,75,65,60
2009,gangsugu,died,15,3,2,1,1,0,1,0,2,5
2009,gangsugu,injured,2867,143,312,572,544,606,443,91,82,74
2009,gulogu,died,15,0,2,0,2,2,1,0,4,4
2009,gulogu,injured,2364,115,206,508,453,481,395,61,86,59
2009,gemchungu,died,21,1,2,1,2,3,4,2,3,3
2009,gemchungu,injured,1649,83,180,307,325,359,238,58,60,39
2009,yeongdeungpogu,died,33,1,1,3,7,8,6,3,2,2
2009,yeongdeungpogu,injured,3448,129,263,765,699,735,535,136,102,84
2009,dongjakgu,died,16,0,1,5,2,2,0,1,2,3
2009,dongjakgu,injured,1801,99,155,386,352,321,297,65,67,59
2009,gwanakgu,died,14,0,1,2,2,2,0,1,1,5
2009,gwanakgu,injured,2778,122,287,670,538,540,388,87,87,59
2009,suchogu,died,24,2,0,1,3,7,1,2,3,5
2009,suchogu,injured,3570,106,177,866,897,741,543,111,77,52
2009,gangnamgu,died,27,1,1,3,3,6,6,4,0,3
2009,gangnamgu,injured,5455,130,266,"1,554","1,363","1,046",753,171,123,49
2009,songpagu,died,22,1,1,8,4,2,4,0,0,2
2009,songpagu,injured,4084,185,354,889,859,812,671,132,101,81
2009,gangdonggu,died,22,1,0,2,2,5,3,2,5,2
2009,gangdonggu,injured,2130,139,183,380,376,455,364,85,81,67
2010,jongnogu,died,19,0,0,0,3,4,4,1,2,5
