code,name,value,population,ratio
1123063,대치4동,142,22134,0.641546941357188
1123064,역삼1동,303,36239,0.836115786859461
1123065,역삼2동,296,36130,0.819263769720454
1123066,도곡1동,50,22854,0.218780082261311
1123067,도곡2동,18,35661,0.0504753091612686
1123068,개포1동,368,22163,1.66042503271218
1123071,개포4동,473,23177,2.04081632653061
1123072,일원본동,39,24995,0.156031206241248
1123073,일원1동,1195,17880,6.6834451901566
1123074,일원2동,949,18499,5.13000702740689
1123075,수서동,2803,16064,17.4489541832669
1123076,세곡동,1324,35894,3.68863876971081
1123077,압구정동,41,28730,0.142707970762269
1123078,청담동,157,31350,0.500797448165869
1123079,대치2동,93,43118,0.215687184006679
1123080,개포2동,227,33476,0.678097741665671
1124051,풍납1동,318,19034,1.67069454660082
1124052,풍납2동,195,28066,0.694790850138958
1124053,거여1동,278,15472,1.79679420889348
1124054,거여2동,610,27302,2.23426855175445
1124055,마천1동,663,23185,2.85960750485228
1124056,마천2동,544,21792,2.49632892804699
1124057,방이1동,131,16805,0.779529901814936
1124058,방이2동,254,25852,0.982515859507968
1124059,오륜동,4,20114,0.0198866461171323
1124060,오금동,394,37544,1.04943532921372
1124061,송파1동,152,27287,0.557041814783596
1124062,송파2동,101,22497,0.448948748722052
1124063,석촌동,451,35680,1.2640134529148
1124064,삼전동,368,34507,1.06645028544933
1124065,가락본동,174,29132,0.597281340107099
1124066,가락1동,2,1237,0.161681487469685
1124067,가락2동,167,35477,0.470727513600361
1124068,문정1동,128,22383,0.57186257427512
1124069,문정2동,39,18158,0.214781363586298
1124070,장지동,614,46174,1.3297526746654
1124071,잠실본동,290,30965,0.936541256257064
1124075,잠실4동,20,30842,0.0648466377018352
1124077,잠실6동,17,17848,0.0952487673688929
1124078,잠실7동,1,10474,0.00954745083062822
1124079,잠실2동,7,36799,0.0190222560395663
1124080,잠실3동,18,37168,0.0484287559190702
1125051,강일동,538,34168,1.57457269960197
1125052,상일동,204,26868,0.759267530147387
1125053,명일1동,182,28073,0.648309763830015
1125054,명일2동,76,18784,0.404599659284497
1125055,고덕1동,194,16835,1.15236115236115
1125056,고덕2동,436,17005,2.56395177888856
1125058,암사2동,75,16312,0.459784207945071
1125059,암사3동,47,19065,0.24652504589562
1125061,천호1동,587,30573,1.91999476662415
1125063,천호3동,665,26105,2.54740471174105
1125065,성내1동,88,19724,0.44615696613263
1125066,성내2동,474,26583,1.78309445886469
1125067,성내3동,293,25322,1.15709659584551
1125070,둔촌1동,31,19530,0.158730158730159
1125071,둔촌2동,283,29349,0.964257725987257
1125072,암사1동,867,38289,2.26435790958239
1125073,천호2동,984,37226,2.64331381292645
1125074,길동,635,51521,1.23250713301372
